"Ugenummer","Målgruppe","Dækning førstegangsvaccinerede (kumulativt i %)","Dækning færdigvaccinerede (kumulativt i %)"
2021-W04,10B. Personer fra årgang 1962-1966,0.22,0.11
2021-W04,10C. Personer fra årgang 1967-1971,0.18,0.09
2021-W04,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.09,0.05
2021-W04,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.11,0.05
2021-W04,Resterende,0.05,0.02
2021-W05,1. Plejehjemsbeboere,84.99,76.74
2021-W05,"2. Borgere > 65, praktisk hjælp og personlig pleje",50.96,30.40
2021-W05,3. Borgere fra årgang 1936 og derunder (85 år og ældre),4.39,0.71
2021-W05,4. Personale i sundhedsvæsenet og dele af socialvæsenet,33.05,24.20
2021-W05,5. Udvalgte patienter med særligt øget risiko,6.66,4.45
2021-W05,6. Udvalgte pårørende til personer med særligt øget risiko,0.00,0.00
2021-W05,7. Personer fra årgang 1937-1941,0.54,0.32
2021-W05,8. Personer fra årgang 1942-1946,0.37,0.21
2021-W05,9. Personer fra årgang 1947-1956,0.28,0.18
2021-W05,10A. Personer fra årgang 1957-1961,0.28,0.18
2021-W05,10B. Personer fra årgang 1962-1966,0.23,0.16
2021-W05,10C. Personer fra årgang 1967-1971,0.20,0.13
2021-W05,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.10,0.07
2021-W05,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.12,0.08
2021-W05,Resterende,0.06,0.03
2021-W06,1. Plejehjemsbeboere,86.01,78.10
2021-W06,"2. Borgere > 65, praktisk hjælp og personlig pleje",55.26,43.30
2021-W06,3. Borgere fra årgang 1936 og derunder (85 år og ældre),21.07,1.00
2021-W06,4. Personale i sundhedsvæsenet og dele af socialvæsenet,39.44,29.45
2021-W06,5. Udvalgte patienter med særligt øget risiko,7.09,5.52
2021-W06,7. Personer fra årgang 1937-1941,0.61,0.43
2021-W06,8. Personer fra årgang 1942-1946,0.42,0.28
2021-W06,9. Personer fra årgang 1947-1956,0.31,0.21
2021-W06,10A. Personer fra årgang 1957-1961,0.29,0.21
2021-W06,10B. Personer fra årgang 1962-1966,0.25,0.18
2021-W06,10C. Personer fra årgang 1967-1971,0.21,0.15
2021-W06,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.11,0.07
2021-W06,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.13,0.09
2021-W06,Resterende,0.06,0.04
2021-W07,1. Plejehjemsbeboere,87.85,78.88
2021-W07,"2. Borgere > 65, praktisk hjælp og personlig pleje",67.47,43.99
2021-W07,3. Borgere fra årgang 1936 og derunder (85 år og ældre),62.45,1.03
2021-W07,4. Personale i sundhedsvæsenet og dele af socialvæsenet,48.45,30.77
2021-W07,5. Udvalgte patienter med særligt øget risiko,10.58,6.30
2021-W07,6. Udvalgte pårørende til personer med særligt øget risiko,0.00,0.00
2021-W07,7. Personer fra årgang 1937-1941,0.72,0.45
2021-W07,8. Personer fra årgang 1942-1946,0.47,0.31
2021-W07,9. Personer fra årgang 1947-1956,0.35,0.23
2021-W07,10A. Personer fra årgang 1957-1961,0.33,0.23
2021-W07,10B. Personer fra årgang 1962-1966,0.28,0.19
2021-W07,10C. Personer fra årgang 1967-1971,0.24,0.16
2021-W07,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.12,0.08
2021-W07,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.14,0.10
2021-W07,Resterende,0.06,0.05
2021-W08,1. Plejehjemsbeboere,90.12,82.34
2021-W08,"2. Borgere > 65, praktisk hjælp og personlig pleje",72.14,48.60
2021-W08,3. Borgere fra årgang 1936 og derunder (85 år og ældre),80.01,1.11
2021-W08,4. Personale i sundhedsvæsenet og dele af socialvæsenet,64.70,32.11
2021-W08,5. Udvalgte patienter med særligt øget risiko,26.69,6.52
2021-W08,6. Udvalgte pårørende til personer med særligt øget risiko,0.00,0.00
2021-W08,7. Personer fra årgang 1937-1941,0.90,0.52
2021-W08,8. Personer fra årgang 1942-1946,0.54,0.35
2021-W08,9. Personer fra årgang 1947-1956,0.40,0.26
2021-W08,10A. Personer fra årgang 1957-1961,0.37,0.26
2021-W08,10B. Personer fra årgang 1962-1966,0.32,0.21
2021-W08,10C. Personer fra årgang 1967-1971,0.27,0.18
2021-W08,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.13,0.09
2021-W08,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.17,0.11
2021-W08,Resterende,0.07,0.05
2021-W09,1. Plejehjemsbeboere,90.86,83.38
2021-W09,"2. Borgere > 65, praktisk hjælp og personlig pleje",75.51,53.20
2021-W09,3. Borgere fra årgang 1936 og derunder (85 år og ældre),86.18,13.18
2021-W09,4. Personale i sundhedsvæsenet og dele af socialvæsenet,82.27,33.11
2021-W09,5. Udvalgte patienter med særligt øget risiko,46.27,6.91
2021-W09,6. Udvalgte pårørende til personer med særligt øget risiko,4.57,0.00
2021-W09,7. Personer fra årgang 1937-1941,1.09,0.59
2021-W09,8. Personer fra årgang 1942-1946,0.62,0.40
2021-W09,9. Personer fra årgang 1947-1956,0.46,0.29
2021-W09,10A. Personer fra årgang 1957-1961,0.43,0.28
2021-W09,10B. Personer fra årgang 1962-1966,0.38,0.23
2021-W09,10C. Personer fra årgang 1967-1971,0.31,0.20
2021-W09,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.16,0.10
2021-W09,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.19,0.12
2021-W09,Resterende,0.08,0.05
2021-W10,1. Plejehjemsbeboere,91.80,85.56
2021-W10,"2. Borgere > 65, praktisk hjælp og personlig pleje",79.37,64.07
2021-W10,3. Borgere fra årgang 1936 og derunder (85 år og ældre),89.35,50.69
2021-W10,4. Personale i sundhedsvæsenet og dele af socialvæsenet,89.22,34.39
2021-W10,5. Udvalgte patienter med særligt øget risiko,53.14,9.84
2021-W10,6. Udvalgte pårørende til personer med særligt øget risiko,7.48,0.00
2021-W10,7. Personer fra årgang 1937-1941,1.68,0.68
2021-W10,8. Personer fra årgang 1942-1946,0.80,0.45
2021-W10,9. Personer fra årgang 1947-1956,0.56,0.32
2021-W10,10A. Personer fra årgang 1957-1961,0.52,0.31
2021-W10,10B. Personer fra årgang 1962-1966,0.45,0.26
2021-W10,10C. Personer fra årgang 1967-1971,0.37,0.22
2021-W10,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.19,0.11
2021-W10,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.23,0.13
2021-W10,Resterende,0.10,0.06
2021-W11,1. Plejehjemsbeboere,92.41,86.74
2021-W11,"2. Borgere > 65, praktisk hjælp og personlig pleje",82.66,69.64
2021-W11,3. Borgere fra årgang 1936 og derunder (85 år og ældre),91.30,75.58
2021-W11,4. Personale i sundhedsvæsenet og dele af socialvæsenet,90.07,35.72
2021-W11,5. Udvalgte patienter med særligt øget risiko,62.16,19.95
2021-W11,6. Udvalgte pårørende til personer med særligt øget risiko,9.91,0.00
2021-W11,7. Personer fra årgang 1937-1941,16.86,0.85
2021-W11,8. Personer fra årgang 1942-1946,1.04,0.51
2021-W11,9. Personer fra årgang 1947-1956,0.70,0.37
2021-W11,10A. Personer fra årgang 1957-1961,0.62,0.35
2021-W11,10B. Personer fra årgang 1962-1966,0.54,0.30
2021-W11,10C. Personer fra årgang 1967-1971,0.45,0.25
2021-W11,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.23,0.12
2021-W11,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.28,0.15
2021-W11,Resterende,0.12,0.07
2021-W12,1. Plejehjemsbeboere,93.20,88.50
2021-W12,"2. Borgere > 65, praktisk hjælp og personlig pleje",85.45,71.97
2021-W12,3. Borgere fra årgang 1936 og derunder (85 år og ældre),92.39,80.92
2021-W12,4. Personale i sundhedsvæsenet og dele af socialvæsenet,90.53,36.79
2021-W12,5. Udvalgte patienter med særligt øget risiko,68.23,36.47
2021-W12,6. Udvalgte pårørende til personer med særligt øget risiko,13.58,0.00
2021-W12,7. Personer fra årgang 1937-1941,42.18,0.91
2021-W12,8. Personer fra årgang 1942-1946,1.79,0.56
2021-W12,9. Personer fra årgang 1947-1956,0.84,0.41
2021-W12,10A. Personer fra årgang 1957-1961,0.67,0.38
2021-W12,10B. Personer fra årgang 1962-1966,0.60,0.33
2021-W12,10C. Personer fra årgang 1967-1971,0.49,0.27
2021-W12,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.26,0.14
2021-W12,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.31,0.17
2021-W12,Resterende,0.14,0.07
2021-W13,1. Plejehjemsbeboere,93.50,89.23
2021-W13,"2. Borgere > 65, praktisk hjælp og personlig pleje",86.93,74.50
2021-W13,3. Borgere fra årgang 1936 og derunder (85 år og ældre),93.12,85.73
2021-W13,4. Personale i sundhedsvæsenet og dele af socialvæsenet,90.80,38.15
2021-W13,5. Udvalgte patienter med særligt øget risiko,76.69,48.05
2021-W13,6. Udvalgte pårørende til personer med særligt øget risiko,16.53,5.05
2021-W13,7. Personer fra årgang 1937-1941,68.55,1.10
2021-W13,8. Personer fra årgang 1942-1946,13.32,0.63
2021-W13,9. Personer fra årgang 1947-1956,1.13,0.47
2021-W13,10A. Personer fra årgang 1957-1961,0.75,0.44
2021-W13,10B. Personer fra årgang 1962-1966,0.67,0.37
2021-W13,10C. Personer fra årgang 1967-1971,0.56,0.31
2021-W13,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.30,0.16
2021-W13,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.35,0.19
2021-W13,Resterende,0.15,0.08
2021-W14,1. Plejehjemsbeboere,93.80,90.28
2021-W14,"2. Borgere > 65, praktisk hjælp og personlig pleje",87.96,79.84
2021-W14,3. Borgere fra årgang 1936 og derunder (85 år og ældre),93.59,89.55
2021-W14,4. Personale i sundhedsvæsenet og dele af socialvæsenet,91.20,39.42
2021-W14,5. Udvalgte patienter med særligt øget risiko,80.73,57.14
2021-W14,6. Udvalgte pårørende til personer med særligt øget risiko,23.15,7.62
2021-W14,7. Personer fra årgang 1937-1941,83.85,5.98
2021-W14,8. Personer fra årgang 1942-1946,39.50,0.88
2021-W14,9. Personer fra årgang 1947-1956,3.75,0.60
2021-W14,10A. Personer fra årgang 1957-1961,0.84,0.56
2021-W14,10B. Personer fra årgang 1962-1966,0.75,0.48
2021-W14,10C. Personer fra årgang 1967-1971,0.62,0.40
2021-W14,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.33,0.21
2021-W14,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.39,0.26
2021-W14,Resterende,0.17,0.11
2021-W15,1. Plejehjemsbeboere,94.36,91.11
2021-W15,"2. Borgere > 65, praktisk hjælp og personlig pleje",88.79,83.55
2021-W15,3. Borgere fra årgang 1936 og derunder (85 år og ældre),94.03,91.36
2021-W15,4. Personale i sundhedsvæsenet og dele af socialvæsenet,91.49,40.17
2021-W15,5. Udvalgte patienter med særligt øget risiko,83.89,65.02
2021-W15,6. Udvalgte pårørende til personer med særligt øget risiko,54.88,11.20
2021-W15,7. Personer fra årgang 1937-1941,90.61,26.46
2021-W15,8. Personer fra årgang 1942-1946,80.03,1.15
2021-W15,9. Personer fra årgang 1947-1956,18.13,0.74
2021-W15,10A. Personer fra årgang 1957-1961,0.98,0.63
2021-W15,10B. Personer fra årgang 1962-1966,0.85,0.56
2021-W15,10C. Personer fra årgang 1967-1971,0.70,0.45
2021-W15,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.37,0.24
2021-W15,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.43,0.29
2021-W15,Resterende,0.19,0.13
2021-W16,1. Plejehjemsbeboere,94.70,91.54
2021-W16,"2. Borgere > 65, praktisk hjælp og personlig pleje",89.40,85.21
2021-W16,3. Borgere fra årgang 1936 og derunder (85 år og ældre),94.33,92.25
2021-W16,4. Personale i sundhedsvæsenet og dele af socialvæsenet,91.74,40.51
2021-W16,5. Udvalgte patienter med særligt øget risiko,86.11,73.40
2021-W16,6. Udvalgte pårørende til personer med særligt øget risiko,73.84,14.39
2021-W16,7. Personer fra årgang 1937-1941,92.37,54.82
2021-W16,8. Personer fra årgang 1942-1946,88.90,6.72
2021-W16,9. Personer fra årgang 1947-1956,40.06,0.96
2021-W16,10A. Personer fra årgang 1957-1961,1.11,0.68
2021-W16,10B. Personer fra årgang 1962-1966,0.96,0.60
2021-W16,10C. Personer fra årgang 1967-1971,0.79,0.48
2021-W16,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.42,0.26
2021-W16,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.49,0.31
2021-W16,Resterende,0.22,0.13
2021-W17,1. Plejehjemsbeboere,94.94,91.83
2021-W17,"2. Borgere > 65, praktisk hjælp og personlig pleje",89.94,86.21
2021-W17,3. Borgere fra årgang 1936 og derunder (85 år og ældre),94.65,92.80
2021-W17,4. Personale i sundhedsvæsenet og dele af socialvæsenet,92.07,42.99
2021-W17,5. Udvalgte patienter med særligt øget risiko,88.37,78.26
2021-W17,6. Udvalgte pårørende til personer med særligt øget risiko,80.66,18.63
2021-W17,7. Personer fra årgang 1937-1941,93.82,73.91
2021-W17,8. Personer fra årgang 1942-1946,92.66,24.82
2021-W17,9. Personer fra årgang 1947-1956,62.34,1.70
2021-W17,10A. Personer fra årgang 1957-1961,3.27,0.76
2021-W17,10B. Personer fra årgang 1962-1966,1.09,0.67
2021-W17,10C. Personer fra årgang 1967-1971,0.89,0.55
2021-W17,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.47,0.30
2021-W17,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.54,0.36
2021-W17,Resterende,0.24,0.15
2021-W18,1. Plejehjemsbeboere,95.14,92.43
2021-W18,"2. Borgere > 65, praktisk hjælp og personlig pleje",90.58,87.14
2021-W18,3. Borgere fra årgang 1936 og derunder (85 år og ældre),94.90,93.24
2021-W18,4. Personale i sundhedsvæsenet og dele af socialvæsenet,93.38,49.49
2021-W18,5. Udvalgte patienter med særligt øget risiko,89.89,82.12
2021-W18,6. Udvalgte pårørende til personer med særligt øget risiko,83.66,45.40
2021-W18,7. Personer fra årgang 1937-1941,94.55,85.35
2021-W18,8. Personer fra årgang 1942-1946,93.68,67.29
2021-W18,9. Personer fra årgang 1947-1956,77.57,11.90
2021-W18,10A. Personer fra årgang 1957-1961,18.14,0.83
2021-W18,10B. Personer fra årgang 1962-1966,1.40,0.74
2021-W18,10C. Personer fra årgang 1967-1971,1.02,0.60
2021-W18,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.52,0.33
2021-W18,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.59,0.39
2021-W18,Resterende,0.26,0.17
2021-W19,1. Plejehjemsbeboere,95.30,92.78
2021-W19,"2. Borgere > 65, praktisk hjælp og personlig pleje",91.01,87.79
2021-W19,3. Borgere fra årgang 1936 og derunder (85 år og ældre),95.08,93.61
2021-W19,4. Personale i sundhedsvæsenet og dele af socialvæsenet,94.89,58.17
2021-W19,5. Udvalgte patienter med særligt øget risiko,90.87,84.38
2021-W19,6. Udvalgte pårørende til personer med særligt øget risiko,85.42,65.22
2021-W19,7. Personer fra årgang 1937-1941,95.18,90.62
2021-W19,8. Personer fra årgang 1942-1946,94.71,83.84
2021-W19,9. Personer fra årgang 1947-1956,87.57,29.43
2021-W19,10A. Personer fra årgang 1957-1961,42.70,0.96
2021-W19,10B. Personer fra årgang 1962-1966,7.67,0.85
2021-W19,10C. Personer fra årgang 1967-1971,1.21,0.69
2021-W19,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.59,0.37
2021-W19,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.66,0.44
2021-W19,Resterende,0.29,0.19
2021-W20,1. Plejehjemsbeboere,95.47,93.08
2021-W20,"2. Borgere > 65, praktisk hjælp og personlig pleje",91.47,88.38
2021-W20,3. Borgere fra årgang 1936 og derunder (85 år og ældre),95.24,93.96
2021-W20,4. Personale i sundhedsvæsenet og dele af socialvæsenet,96.86,72.75
2021-W20,5. Udvalgte patienter med særligt øget risiko,91.83,86.40
2021-W20,6. Udvalgte pårørende til personer med særligt øget risiko,88.04,75.27
2021-W20,7. Personer fra årgang 1937-1941,95.62,92.52
2021-W20,8. Personer fra årgang 1942-1946,95.39,90.67
2021-W20,9. Personer fra årgang 1947-1956,91.57,43.19
2021-W20,10A. Personer fra årgang 1957-1961,65.85,1.06
2021-W20,10B. Personer fra årgang 1962-1966,32.57,0.94
2021-W20,10C. Personer fra årgang 1967-1971,7.56,0.77
2021-W20,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.75,0.41
2021-W20,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.74,0.48
2021-W20,Resterende,0.33,0.21
2021-W21,1. Plejehjemsbeboere,95.58,93.19
2021-W21,"2. Borgere > 65, praktisk hjælp og personlig pleje",91.86,88.68
2021-W21,3. Borgere fra årgang 1936 og derunder (85 år og ældre),95.42,94.11
2021-W21,4. Personale i sundhedsvæsenet og dele af socialvæsenet,98.25,82.93
2021-W21,5. Udvalgte patienter med særligt øget risiko,92.49,87.13
2021-W21,6. Udvalgte pårørende til personer med særligt øget risiko,89.33,77.56
2021-W21,7. Personer fra årgang 1937-1941,95.96,93.16
2021-W21,8. Personer fra årgang 1942-1946,95.79,91.94
2021-W21,9. Personer fra årgang 1947-1956,93.49,48.80
2021-W21,10A. Personer fra årgang 1957-1961,82.76,1.28
2021-W21,10B. Personer fra årgang 1962-1966,58.56,1.01
2021-W21,10C. Personer fra årgang 1967-1971,33.91,0.82
2021-W21,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,2.78,0.44
2021-W21,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.88,0.53
2021-W21,Resterende,0.39,0.25
2021-W22,1. Plejehjemsbeboere,95.66,93.30
2021-W22,"2. Borgere > 65, praktisk hjælp og personlig pleje",92.11,89.09
2021-W22,3. Borgere fra årgang 1936 og derunder (85 år og ældre),95.56,94.30
2021-W22,4. Personale i sundhedsvæsenet og dele af socialvæsenet,98.93,88.33
2021-W22,5. Udvalgte patienter med særligt øget risiko,93.02,88.11
2021-W22,6. Udvalgte pårørende til personer med særligt øget risiko,90.71,80.23
2021-W22,7. Personer fra årgang 1937-1941,96.18,94.03
2021-W22,8. Personer fra årgang 1942-1946,96.10,93.26
2021-W22,9. Personer fra årgang 1947-1956,94.27,62.92
2021-W22,10A. Personer fra årgang 1957-1961,88.29,3.58
2021-W22,10B. Personer fra årgang 1962-1966,78.58,1.19
2021-W22,10C. Personer fra årgang 1967-1971,56.01,0.92
2021-W22,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,14.41,0.57
2021-W22,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,2.94,0.92
2021-W22,Resterende,0.79,0.62
2021-W23,1. Plejehjemsbeboere,95.72,93.39
2021-W23,"2. Borgere > 65, praktisk hjælp og personlig pleje",92.23,89.34
2021-W23,3. Borgere fra årgang 1936 og derunder (85 år og ældre),95.62,94.44
2021-W23,4. Personale i sundhedsvæsenet og dele af socialvæsenet,99.00,89.46
2021-W23,5. Udvalgte patienter med særligt øget risiko,93.23,88.91
2021-W23,6. Udvalgte pårørende til personer med særligt øget risiko,90.71,82.04
2021-W23,7. Personer fra årgang 1937-1941,96.26,94.44
2021-W23,8. Personer fra årgang 1942-1946,96.21,93.82
2021-W23,9. Personer fra årgang 1947-1956,94.50,69.55
2021-W23,10A. Personer fra årgang 1957-1961,89.58,10.17
2021-W23,10B. Personer fra årgang 1962-1966,83.24,1.38
2021-W23,10C. Personer fra årgang 1967-1971,69.19,1.00
2021-W23,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,25.06,0.63
2021-W23,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,6.23,1.17
2021-W23,Resterende,1.10,0.91
